episode,time,step,time1,air_temperature,ground_temperature,hvac_temperature,basement_temperature,main_temperature,attic_temperature,heat_added,action,reward,total_reward,terminal,,,,,
197,197,500,450900,0,10,2.997,21.98267656,25.01060835,20.40456696,2313.684,2,-0.951391603,50470.38287,TRUE,,,,,
198,198,500,450900,0,10,2.997,22.44656374,24.98131115,20.86845414,2337.66,2,-0.449876806,50979.21772,TRUE,,,,,
199,199,500,450900,0,10,2.997,21.31280155,24.45564476,19.73469195,2283.714,2,-0.129532936,51502.36991,TRUE,,,,,
200,200,500,450900,0,10,2.997,22.03065795,24.55635361,20.45254835,2313.684,2,-2,52042.16989,TRUE,,,,,
201,201,500,450900,0,10,2.997,22.11407739,25.25250783,20.53596778,2313.684,2,-0.863824379,52592.43981,TRUE,,,,,
202,202,500,450900,0,10,2.997,22.10762601,25.13819609,20.52951641,2313.684,2,-0.927852218,53147.7134,TRUE,,,,,
203,203,500,450900,0,10,2.997,22.05587886,25.0853565,20.47776925,2325.672,2,-0.937537543,53664.47302,TRUE,,,,,
204,204,500,450900,0,10,2.997,22.0074177,25.14358409,20.4293081,2301.696,2,-0.882741888,54208.89814,TRUE,,,,,
205,205,500,450900,0,10,0,22.42420435,22.59511151,20.84609475,2337.66,1,-1.048190149,54731.14552,TRUE,,,,,
206,206,500,450900,0,10,2.997,21.98933237,24.51310998,20.41122277,2313.684,2,-2,55283.56678,TRUE,,,,,
207,207,500,450900,0,10,2.997,22.27270335,25.43736438,20.69459374,2325.672,2,-0.823668155,55827.0215,TRUE,,,,,
208,208,500,450900,0,10,0,22.19063276,21.72270568,20.61252316,2307.69,1,-2.25,56366.31373,TRUE,,,,,
209,209,500,450900,0,10,2.997,22.11054437,25.14117606,20.53243477,2325.672,2,-0.927308605,56911.23519,TRUE,,,,,
210,210,500,450900,0,10,2.997,22.38201879,25.52610844,20.80390919,2325.672,2,-0.817651361,57463.599,TRUE,,,,,
211,211,500,450900,0,10,0,22.95222444,23.14023423,21.37411483,2331.666,1,-0.96043429,57996.32991,TRUE,,,,,
212,212,500,450900,0,10,2.997,22.23533739,25.26888423,20.65722779,2331.666,2,-0.904150268,58544.16401,TRUE,,,,,
