episode,time,step,time1,air_temperature,ground_temperature,hvac_temperature,basement_temperature,main_temperature,attic_temperature,heat_added,action,reward,total_reward,,,,,,,,,,,,,,
61,61,500,450900,0,10,22.997,21.50294555,24.62845175,19.92483594,2229.768,2,-0.155295028,-588.6263481,TRUE,,20,,,,,,,,,,,
62,62,500,450900,0,10,22.997,21.31305166,24.45750096,19.73494205,2193.804,2,-0.128086552,-220.4802751,TRUE,,20,,,,,,,,,,,
63,63,500,450900,0,10,22.997,21.46779876,24.59257578,19.88968915,2175.822,2,-0.153842668,95.61796798,TRUE,,20,,,,,,,,,,,
64,64,500,450900,0,10,20,20.92954372,21.06884642,19.35143412,2163.834,1,-0.375716603,402.2037318,TRUE,,20,,,,,,,,,,,
65,65,500,450900,0,10,22.997,21.40408677,24.55634056,19.82597717,2133.864,2,-0.125445279,724.4024174,TRUE,,20,,,,,,,,,,,
66,66,500,450900,0,10,22.997,20.78734179,23.89147847,19.20923219,2175.822,2,-0.156601588,1081.39069,TRUE,,20,,,,,,,,,,,
67,67,500,450900,0,10,22.997,21.46713247,24.61973165,19.88902287,2163.834,2,-0.128669304,1425.458276,TRUE,,20,,,,,,,,,,,
68,68,1,1800,0,10,17.003,12.48972718,9.100521745,13.17853036,-11.988,0,3.334549433,1419.265807,TRUE,,20,,,,,,,,,,,
69,69,500,450900,0,10,22.997,21.58155895,24.73168694,20.00344935,2193.804,2,-0.138316348,1746.589474,TRUE,,20,,,,,,,,,,,
70,70,500,450900,0,10,17.003,21.57652175,18.70954375,19.99841215,2163.834,0,-0.158772133,2080.402807,TRUE,,20,,,,,,,,,,,
71,71,500,450900,0,10,22.997,20.97366538,23.47104353,19.39555578,2145.852,2,-1.225732821,2422.319324,TRUE,,20,,,,,,,,,,,
72,72,500,450900,0,10,22.997,20.0126967,22.33028634,18.4345871,2151.846,2,-1.050047975,2780.670402,TRUE,,20,,,,,,,,,,,
73,73,500,450900,0,10,22.997,20.83755234,23.94280746,19.25944274,2181.816,2,-0.155178973,3118.022545,TRUE,,20,,,,,,,,,,,
74,74,500,450900,0,10,22.997,20.88489925,23.88859757,19.30678965,2157.84,2,-0.256671116,3449.376576,TRUE,,20,,,,,,,,,,,
75,75,500,450900,0,10,22.997,21.23194876,24.24298618,19.65383916,2169.828,2,-0.251383306,3765.545591,TRUE,,20,,,,,,,,,,,
76,76,500,450900,0,10,22.997,20.31595105,23.30736465,18.73784144,2169.828,2,-0.956190878,4113.670315,TRUE,,20,,,,,,,,,,,
77,77,500,450900,0,10,22.997,20.9553223,24.06306368,19.37721269,2175.822,2,-0.152974012,4454.234302,TRUE,,20,,,,,,,,,,,
78,78,500,450900,0,10,20,21.26122353,20.76773283,19.68311393,2169.828,1,-2.25,4787.97657,TRUE,,20,,,,,,,,,,,
79,79,500,450900,0,10,22.997,20.91653391,23.28238105,19.3384243,2163.834,2,-2,5133.975043,TRUE,,20,,,,,,,,,,,
80,80,500,450900,0,10,22.997,20.84413722,23.84697453,19.26602761,2163.834,2,-0.258235198,5469.821608,TRUE,,20,,,,,,,,,,,
81,81,500,450900,0,10,22.997,20.69507458,23.66694114,19.11696498,2187.81,2,-1.036373292,5809.924012,TRUE,,20,,,,,,,,,,,
82,82,500,450900,0,10,20,21.58082291,21.73855179,20.0027133,2163.834,1,-0.384149893,6165.272488,TRUE,,20,,,,,,,,,,,
83,83,500,450900,0,10,22.997,20.79535615,23.76932753,19.21724655,2205.792,2,-0.290157549,6518.176525,TRUE,,20,,,,,,,,,,,
84,84,0,900,0,10,17.003,13.41318503,9.26290156,10.82402227,-5.994,0,3.48885651,6514.687669,TRUE,,20,,,,,,,,,,,
85,85,500,450900,0,10,20,21.74965539,21.91123248,20.17154578,2175.822,1,-0.394224054,6854.62241,TRUE,,20,,,,,,,,,,,
86,86,500,450900,0,10,22.997,21.61643213,24.76728626,20.03832253,2169.828,2,-0.140202252,7183.036648,TRUE,,20,,,,,,,,,,,
87,87,1,1800,0,10,17.003,16.06804235,9.946810314,11.74569223,-11.988,0,2.891314459,7178.512812,TRUE,,20,,,,,,,,,,,
88,88,500,450900,0,10,22.997,21.57181293,24.69873816,19.99370333,2181.816,2,-0.15853184,7533.668772,TRUE,,20,,,,,,,,,,,
89,89,500,450900,0,10,22.997,21.31881961,24.46207416,19.74071,2181.816,2,-0.129424682,7880.584318,TRUE,,20,,,,,,,,,,,
90,90,500,450900,0,10,22.997,20.82359868,23.31758538,19.24548908,2205.792,2,-1.188764225,8204.270287,TRUE,,20,,,,,,,,,,,
91,91,500,450900,0,10,22.997,21.36584793,24.51114092,19.78773833,2175.822,2,-0.129772325,8532.034594,TRUE,,20,,,,,,,,,,,
92,92,500,450900,0,10,22.997,21.36863732,24.38387747,19.79052771,2193.804,2,-0.251907393,8878.06103,TRUE,,20,,,,,,,,,,,
93,93,500,450900,0,10,22.997,21.42302963,24.56952979,19.84492003,2175.822,2,-0.131643168,9203.336781,TRUE,,20,,,,,,,,,,,
