episode,step,time,air_temperature,ground_temperature,hvac_temperature,basement_temperature,main_temperature,attic_temperature,heat_added,action,reward,total_reward,terminal
31,2,2700,0.0,10.0,0.0,22.79170162039966,21.769586658035745,20.634890768984622,-5.994,1,21.75,-1089.8404318268958,True
32,1,1800,0.0,10.0,0.0,22.78974393173576,21.301766686838057,21.16861798497164,-5.994,1,21.75,-1063.0904318268958,True
33,0,900,0.0,10.0,0.0,22.4379354347076,20.950106130372994,20.06523093374181,0.0,1,21.75,-1041.3404318268958,True
34,2,2700,0.0,10.0,0.0,21.063584015683627,21.904790269288455,22.091219158127792,5.994,1,5.25,-1042.3404318268958,True
35,13,12600,0.0,10.0,-2.997,10.913771820389238,6.213597053265899,9.302743215576001,-35.964,0,-2.6454371607241276,-1081.5844381785225,True
36,2,2700,0.0,10.0,0.0,22.213312291827688,22.361489954576005,22.111984064546625,0.0,1,5.25,-1065.8344381785225,True
37,1,1800,0.0,10.0,0.0,21.189725393738343,22.08119703618169,22.532940200018093,0.0,1,5.25,-1055.3344381785225,True
38,14,13500,0.0,10.0,-2.997,11.052547189176988,6.375781579476142,9.479021312531223,-29.97,0,-2.614135046129708,-1119.3350143948867,True
39,10,9900,0.0,10.0,0.0,22.782473372945926,22.988511689548055,21.246149255726532,41.958,1,21.75,-898.8350143948867,True
40,8,8100,0.0,10.0,0.0,21.52500939530383,20.38255829663354,19.908706826753146,23.976,1,21.75,-787.0850143948867,True
41,27,25200,0.0,10.0,0.0,22.948491274887004,22.496978677105325,21.37064872491944,131.868,1,5.25,-744.7045487401024,True
42,17,16200,0.0,10.0,0.0,21.511584440880803,21.66442703053648,19.92360721185531,59.94,1,5.25,-686.2045487401024,True
43,100,90900,0.0,10.0,0.0,22.329284278449112,21.69123647391207,20.751174674871454,527.4720000000016,1,21.75,-1245.2923069378146,True
44,0,900,0.0,10.0,0.0,21.591964958818227,20.312459275702956,18.748770826022366,0.0,1,21.75,-1223.5423069378146,True
45,1,1800,0.0,10.0,0.0,22.94480334884751,22.75176895301756,22.101961685865366,0.0,1,5.25,-1229.5423069378146,True
